,100_mean,100_std,200_mean,200_std,300_mean,300_std,400_mean,400_std,500_mean,500_std
0.3795596385964912,0.3177907034910723,0.012012306646745272,,,,,,,,
0.5776467843832631,,,0.4125120114679741,0.04764769005090593,,,,,,
0.6084253766099177,,,,,,,0.5650344030523899,0.05421668336469738,,
0.6342586674383204,,,,,0.508953309606023,0.08598094899920157,,,,
1.041876644415415,,,,,,,,,0.662813082235974,0.059250018608526626
2.713602546296296,1.4000494432201007,0.06670565828115228,,,,,,,,
7.319947314814813,,,1.9939308448371216,0.04128410133156989,,,,,,
11.45186060185185,,,,,2.422336089046767,0.053056490793314585,,,,
13.45396751984126,,,,,,,2.665334712591523,0.04098522208843447,,
16.43414089303194,2.861465472130575,0.005418536539752968,,,,,,,,
17.90176828409245,,,,,,,,,2.9264365511408674,0.03884286950372937
19.26089190120654,3.024396199854671,0.008159641429494246,,,,,,,,
25.80330496931483,3.288525358601247,6.704586110243963e-07,,,,,,,,
31.0571683218742,,,3.466458280840884,0.0010245472839458657,,,,,,
31.27766275794695,,,3.4721047592386176,0.000859886063819741,,,,,,
33.39493671207855,3.5284717285991025,0.0067072907856304195,,,,,,,,
33.87059111192615,,,3.5529543058535022,0.0020779424527534326,,,,,,
47.57226399331662,,,,,3.8810125389464147,0.0032773387634737272,,,,
47.83969558563212,,,,,3.888116113400004,0.0016724751652024959,,,,
55.19604306369012,,,,,4.028845268822213,5.837189643090081e-07,,,,
62.55570818070819,,,,,,,4.15148447492597,0.0017607479112633352,,
63.57808510933511,,,,,,,4.167135540066132,0.001378628823934928,,
65.29714768597346,,,4.201200082190768,0.008787523069242303,,,,,,
74.20450714897248,,,,,,,4.320167027550498,0.0006080168029101546,,
77.51595093390326,,,,,,,,,4.363648875863558,0.00090225821402806
77.6584130531849,,,,,,,,,4.364605597310655,0.0005712859615225203
81.0745690969399,,,,,,,,,4.407513591234384,0.00039729722768135854
100.0140715130302,,,,,4.602933943978884,0.009101511776630444,,,,
132.4319754729371,,,,,,,4.890430527722952,0.004822439619754774,,
164.3661050909879,,,,,,,,,5.1122323576049915,0.004575015461818622
